,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2586,1976,0,1976 Winter,0,JPN,Japan-1,2,0,1,1,0,0,0,0,2.0
2587,1976,0,1976 Winter,0,JPN,Japan-2,2,0,1,1,0,0,0,0,2.0
2588,1976,0,1976 Winter,0,KOR,South Korea,3,2,2,9,0,0,0,0,0.333
2589,1976,0,1976 Winter,0,LIB,Lebanon,1,1,1,1,0,0,0,0,1.0
2590,1976,0,1976 Winter,0,LIE,Liechtenstein,9,3,3,10,2,0,0,2,0.9
2591,1976,0,1976 Winter,0,NED,Netherlands,7,4,2,10,6,1,2,3,0.7
2592,1976,0,1976 Winter,0,NOR,Norway,37,7,7,28,7,3,3,1,1.321
2593,1976,0,1976 Winter,0,NOR,Norway-1,2,0,1,1,0,0,0,0,2.0
2594,1976,0,1976 Winter,0,NOR,Norway-2,2,0,1,1,0,0,0,0,2.0
2595,1976,0,1976 Winter,0,NZL,New Zealand,5,2,1,6,0,0,0,0,0.833
2596,1976,0,1976 Winter,0,POL,Poland,54,13,9,24,0,0,0,0,2.25
2597,1976,0,1976 Winter,0,POL,Poland-1,2,0,1,1,0,0,0,0,2.0
2598,1976,0,1976 Winter,0,POL,Poland-2,2,0,1,1,0,0,0,0,2.0
2599,1976,0,1976 Winter,0,ROU,Romania,24,0,3,6,0,0,0,0,4.0
2600,1976,0,1976 Winter,0,ROU,Romania-1,5,0,1,2,0,0,0,0,2.5
2601,1976,0,1976 Winter,0,ROU,Romania-2,6,0,1,2,0,0,0,0,3.0
2602,1976,0,1976 Winter,0,SMR,San Marino,2,0,1,2,0,0,0,0,1.0
2603,1976,0,1976 Winter,1,SUI,Switzerland,51,7,8,20,3,1,2,0,2.55
2604,1976,0,1976 Winter,1,SUI,Switzerland-1,6,0,1,2,1,0,0,1,3.0
2605,1976,0,1976 Winter,1,SUI,Switzerland-2,6,0,1,2,1,0,1,0,3.0
2606,1976,0,1976 Winter,0,SWE,Sweden,39,9,7,27,2,0,0,2,1.444
2607,1976,0,1976 Winter,0,TCH,Czechoslovakia,58,11,9,27,1,0,1,0,2.148
2608,1976,0,1976 Winter,0,TPE,Chinese Taipei,6,0,4,6,0,0,0,0,1.0
2609,1976,0,1976 Winter,0,TUR,Turkey,9,0,2,6,0,0,0,0,1.5
2610,1976,0,1976 Winter,0,URS,Soviet Union,65,14,9,32,24,11,5,8,2.031
2611,1976,0,1976 Winter,0,URS,Soviet Union-1,6,2,2,3,2,2,0,0,2.0
2612,1976,0,1976 Winter,0,URS,Soviet Union-2,6,2,2,3,1,0,1,0,2.0
2613,1976,0,1976 Winter,0,URS,Soviet Union-3,4,2,1,2,0,0,0,0,2.0
2614,1976,0,1976 Winter,0,USA,United States,84,25,9,32,9,3,3,3,2.625
2615,1976,0,1976 Winter,0,USA,United States-1,10,2,3,5,1,0,0,1,2.0
2616,1976,0,1976 Winter,0,USA,United States-2,12,2,3,5,0,0,0,0,2.4
2617,1976,0,1976 Winter,0,USA,United States-3,2,1,1,1,0,0,0,0,2.0
2618,1976,0,1976 Winter,0,YUG,Yugoslavia,28,1,4,11,0,0,0,0,2.545
2619,1980,1,1980 Summer,0,AFG,Afghanistan,11,0,2,11,0,0,0,0,1.0
2620,1980,1,1980 Summer,0,ALG,Algeria,54,0,9,28,0,0,0,0,1.929
2621,1980,1,1980 Summer,0,AND,Andorra,2,0,1,1,0,0,0,0,2.0
2622,1980,1,1980 Summer,0,ANG,Angola,11,1,3,14,0,0,0,0,0.786
2623,1980,1,1980 Summer,0,AUS,Australia,120,28,17,92,9,2,2,5,1.304
2624,1980,1,1980 Summer,0,AUT,Austria,83,19,16,51,4,1,2,1,1.627
2625,1980,1,1980 Summer,0,BEL,Belgium,59,16,10,51,1,1,0,0,1.157
2626,1980,1,1980 Summer,0,BEN,Benin,16,1,2,17,0,0,0,0,0.941
2627,1980,1,1980 Summer,0,BOT,Botswana,7,0,1,8,0,0,0,0,0.875
2628,1980,1,1980 Summer,0,BRA,Brazil,106,15,14,72,4,2,0,2,1.472
2629,1980,1,1980 Summer,0,BUL,Bulgaria,270,88,20,151,41,8,16,17,1.788
2630,1980,1,1980 Summer,0,CGO,Congo (Brazzaville),23,14,3,8,0,0,0,0,2.875
2631,1980,1,1980 Summer,0,CMR,Cameroon,25,3,5,23,0,0,0,0,1.087
2632,1980,1,1980 Summer,0,COL,Colombia,23,0,3,7,0,0,0,0,3.286
2633,1980,1,1980 Summer,0,CRC,Costa Rica,29,1,5,18,0,0,0,0,1.611
2634,1980,1,1980 Summer,0,CUB,Cuba,208,33,19,92,20,8,7,5,2.261
2635,1980,1,1980 Summer,0,CYP,Cyprus,14,2,3,13,0,0,0,0,1.077
2636,1980,1,1980 Summer,0,DEN,Denmark,58,3,13,30,5,2,1,2,1.933
2637,1980,1,1980 Summer,0,DOM,Dominican Republic,6,1,4,7,0,0,0,0,0.857
2638,1980,1,1980 Summer,0,ECU,Ecuador,12,1,5,13,0,0,0,0,0.923
2639,1980,1,1980 Summer,0,ESP,Spain,155,9,18,75,6,1,3,2,2.067
2640,1980,1,1980 Summer,0,ETH,Ethiopia,41,2,3,26,4,2,0,2,1.577
2641,1980,1,1980 Summer,0,FIN,Finland,105,6,16,71,8,3,1,4,1.479
2642,1980,1,1980 Summer,0,FRA,France,121,23,13,85,14,6,5,3,1.424
2643,1980,1,1980 Summer,0,GBR,Great Britain,219,70,14,145,21,5,7,9,1.51
2644,1980,1,1980 Summer,0,GDR,East Germany,346,124,17,167,126,47,37,42,2.072
2645,1980,1,1980 Summer,0,GRE,Greece,41,3,8,31,3,1,0,2,1.323
2646,1980,1,1980 Summer,0,GUA,Guatemala,10,0,5,7,0,0,0,0,1.429
2647,1980,1,1980 Summer,0,GUI,Guinea,9,0,3,10,0,0,0,0,0.9
2648,1980,1,1980 Summer,0,GUY,Guyana,8,1,3,10,1,0,0,1,0.8
2649,1980,1,1980 Summer,0,HUN,Hungary,260,81,21,151,32,7,10,15,1.722
2650,1980,1,1980 Summer,0,IND,India,71,16,8,30,1,1,0,0,2.367
2651,1980,1,1980 Summer,0,IRL,Ireland,47,3,11,38,2,0,1,1,1.237
2652,1980,1,1980 Summer,0,IRQ,Iraq,43,0,5,26,0,0,0,0,1.654
2653,1980,1,1980 Summer,0,ISL,Iceland,9,0,3,11,0,0,0,0,0.818
2654,1980,1,1980 Summer,0,ITA,Italy,159,38,19,88,15,8,3,4,1.807
2655,1980,1,1980 Summer,0,JAM,Jamaica,18,7,2,15,3,0,0,3,1.2
2656,1980,1,1980 Summer,0,JOR,Jordan,4,0,1,3,0,0,0,0,1.333
2657,1980,1,1980 Summer,0,KUW,Kuwait,56,0,7,26,0,0,0,0,2.154
2658,1980,1,1980 Summer,0,LAO,Laos,19,2,3,16,0,0,0,0,1.188
2659,1980,1,1980 Summer,0,LBA,Libya,29,2,5,20,0,0,0,0,1.45
2660,1980,1,1980 Summer,0,LES,Lesotho,5,0,1,6,0,0,0,0,0.833
2661,1980,1,1980 Summer,0,LIB,Lebanon,15,0,8,16,1,0,0,1,0.938
2662,1980,1,1980 Summer,0,LUX,Luxembourg,3,0,3,4,0,0,0,0,0.75
2663,1980,1,1980 Summer,0,MAD,Madagascar,11,3,4,18,0,0,0,0,0.611
2664,1980,1,1980 Summer,0,MEX,Mexico,45,9,12,43,4,0,1,3,1.047
2665,1980,1,1980 Summer,0,MGL,Mongolia,43,4,8,41,4,0,2,2,1.049
2666,1980,1,1980 Summer,0,MLI,Mali,7,1,3,7,0,0,0,0,1.0
2667,1980,1,1980 Summer,0,MLT,Malta,8,1,3,5,0,0,0,0,1.6
2668,1980,1,1980 Summer,0,MOZ,Mozambique,14,2,2,16,0,0,0,0,0.875
2669,1980,1,1980 Summer,0,MYA,Myanmar,2,0,2,2,0,0,0,0,1.0
2670,1980,1,1980 Summer,0,NCA,Nicaragua,5,2,3,6,0,0,0,0,0.833
2671,1980,1,1980 Summer,0,NED,Netherlands,75,18,10,56,3,0,1,2,1.339
2672,1980,1,1980 Summer,0,NEP,Nepal,10,0,3,9,0,0,0,0,1.111
2673,1980,1,1980 Summer,0,NGR,Nigeria,44,6,5,22,0,0,0,0,2.0
2674,1980,1,1980 Summer,0,NZL,New Zealand,4,0,2,5,0,0,0,0,0.8
2675,1980,1,1980 Summer,0,PER,Peru,28,14,5,26,0,0,0,0,1.077
2676,1980,1,1980 Summer,0,POL,Poland,306,74,21,162,32,3,14,15,1.889
2677,1980,1,1980 Summer,0,POR,Portugal,11,1,6,17,0,0,0,0,0.647
2678,1980,1,1980 Summer,0,PRK,North Korea,47,8,8,40,5,0,3,2,1.175
2679,1980,1,1980 Summer,0,PUR,Puerto Rico,3,0,1,3,0,0,0,0,1.0
2680,1980,1,1980 Summer,0,ROU,Romania,226,74,20,135,25,6,6,13,1.674
2681,1980,1,1980 Summer,0,SEN,Senegal,32,2,4,22,0,0,0,0,1.455
2682,1980,1,1980 Summer,0,SEY,Seychelles,11,2,2,15,0,0,0,0,0.733
2683,1980,1,1980 Summer,0,SLE,Sierra Leone,14,2,2,16,0,0,0,0,0.875
2684,1980,1,1980 Summer,0,SMR,San Marino,16,0,5,10,0,0,0,0,1.6
2685,1980,1,1980 Summer,0,SRI,Sri Lanka,4,0,1,1,0,0,0,0,4.0
2686,1980,1,1980 Summer,0,SUI,Switzerland,73,6,10,45,2,2,0,0,1.622
2687,1980,1,1980 Summer,0,SWE,Sweden,145,23,18,102,12,3,3,6,1.422
2688,1980,1,1980 Summer,0,SYR,Syria,67,2,7,55,0,0,0,0,1.218
2689,1980,1,1980 Summer,0,TAN,Tanzania,41,5,3,22,2,0,2,0,1.864
2690,1980,1,1980 Summer,0,TCH,Czechoslovakia,209,47,21,114,14,2,3,9,1.833
2691,1980,1,1980 Summer,0,TTO,Trinidad and Tobago,9,0,1,5,0,0,0,0,1.8
2692,1980,1,1980 Summer,0,UGA,Uganda,13,0,2,12,1,0,1,0,1.083
2693,1980,1,1980 Summer,1,URS,Soviet Union,489,149,23,202,195,80,69,46,2.421
2694,1980,1,1980 Summer,0,VEN,Venezuela,37,0,7,20,1,0,1,0,1.85
2695,1980,1,1980 Summer,0,VIE,Vietnam,30,8,4,31,0,0,0,0,0.968
2696,1980,1,1980 Summer,0,YUG,Yugoslavia,164,28,17,69,9,2,3,4,2.377
2697,1980,1,1980 Summer,0,ZAM,Zambia,37,0,4,25,0,0,0,0,1.48
2698,1980,1,1980 Summer,0,ZIM,Zimbabwe,42,19,10,30,1,1,0,0,1.4
